"DateTime","Index Price"
"2021-10-09 00:00:00",53969.35
"2021-10-10 00:00:00",54957.94
"2021-10-11 00:00:00",54682.03
"2021-10-12 00:00:00",57461.96
"2021-10-13 00:00:00",56019.34
"2021-10-14 00:00:00",57383.77
"2021-10-15 00:00:00",57340.3
"2021-10-16 00:00:00",61683.55
"2021-10-17 00:00:00",60869.72
"2021-10-18 00:00:00",61549.05
"2021-10-19 00:00:00",62040.21
"2021-10-20 00:00:00",64324.69
"2021-10-21 00:00:00",65977.08
"2021-10-22 00:00:00",62168.77
"2021-10-23 00:00:00",60691.35
"2021-10-24 00:00:00",61310.43
"2021-10-25 00:00:00",60893.81
"2021-10-26 00:00:00",63105.35
"2021-10-27 00:00:00",60334.4
"2021-10-28 00:00:00",58480.42
"2021-10-29 00:00:00",60573.91
"2021-10-30 00:00:00",62303.04
"2021-10-31 00:00:00",62073.47
"2021-11-01 00:00:00",61360.61
"2021-11-02 00:00:00",60954.7
"2021-11-03 00:00:00",63367.23
"2021-11-04 00:00:00",62936.82
"2021-11-05 00:00:00",61490.13
"2021-11-06 00:00:00",61010.64
"2021-11-07 00:00:00",61545.36
"2021-11-08 00:00:00",63432.3
"2021-11-09 00:00:00",67496.29
"2021-11-10 00:00:00",66996.53
"2021-11-11 00:00:00",64881.33
"2021-11-12 00:00:00",64792.91
"2021-11-13 00:00:00",64179.89
"2021-11-14 00:00:00",64470.94
"2021-11-15 00:00:00",65770.9
"2021-11-16 00:00:00",63429.83
"2021-11-17 00:00:00",60203.65
"2021-11-18 00:00:00",60383.83
"2021-11-19 00:00:00",57059.32
"2021-11-20 00:00:00",58181.98
"2021-11-21 00:00:00",59734.82
"2021-11-22 00:00:00",58749.25
"2021-11-23 00:00:00",56282.24
"2021-11-24 00:00:00",57603.61
"2021-11-25 00:00:00",57254.54
"2021-11-26 00:00:00",59015.25
"2021-11-27 00:00:00",53797.26
"2021-11-28 00:00:00",54670.01
"2021-11-29 00:00:00",57454.88
"2021-11-30 00:00:00",57812.67
"2021-12-01 00:00:00",56897.86
"2021-12-02 00:00:00",57211.28
"2021-12-03 00:00:00",56565.93
"2021-12-04 00:00:00",53689.66
"2021-12-05 00:00:00",49346.83
"2021-12-06 00:00:00",49490.11
"2021-12-07 00:00:00",50554.19
"2021-12-08 00:00:00",50655.67
"2021-12-09 00:00:00",50523.61
"2021-12-10 00:00:00",47610.1
"2021-12-11 00:00:00",47217.01
"2021-12-12 00:00:00",49454.03
"2021-12-13 00:00:00",50086.54
"2021-12-14 00:00:00",46638.92
"2021-12-15 00:00:00",48363.27
"2021-12-16 00:00:00",48885.36
"2021-12-17 00:00:00",47621.11
"2021-12-18 00:00:00",46230.19
"2021-12-19 00:00:00",46821.66
"2021-12-20 00:00:00",46664.43
"2021-12-21 00:00:00",46957.31
"2021-12-22 00:00:00",48958.56
"2021-12-23 00:00:00",48653.56
